image_name,predicted_score
Cetoscarus_ocellatus_F_1.png,1407.0253
Pseudanthias_smithvanizi_A_1.png,1619.2245
Lutjanus_adetii_A_2.png,1408.9375
Alectis_indica_A_2.png,1397.4423
Rhinesomus_triqueter_A_2.png,1604.2391
Itycirrhitus_wilhelmi_F_1_Langlois22.png,1295.0956
Scarus_xanthopleura_A_1.png,1413.7394
Anampses_femininus_F_1_Langlois22.png,1711.5176
Sillago_maculata_A_1.png,1180.1462
Ablennes_hians_A_2.png,1255.2539
Pomacentrus_trichourus_A_1.png,1598.6833
Lactophrys_trigonus_A_3.png,1305.3916
Inermia_vittata_A_2.png,1431.8816
Stegastes_lacrymatus_A_1.png,1455.4963
Myxus_elongatus_A_1.png,1278.5433
Kyphosus_gladius_A_1.png,1242.721
Mycteroperca_venenosa_A_1.png,1373.6986
Acanthopagrus_palmaris_A_1.png,1280.1604
Cetoscarus_ocellatus_J_1.png,1484.383
Alectis_indica_A_3.png,1337.5955
Parapercis_bimacula_A_1.png,1386.099
Paracheilinus_filamentosus_F_1.png,1489.9282
Chelmon_muelleri_A_1.png,1648.9614
Pseudobalistes_flavimarginatus_A_1_Langlois22.png,1489.7545
Sebastapistes_coniorta_A_2.png,1431.448
Scolopsis_margaritifer_A_1.png,1263.4222
Upeneus_australiae_A_1.png,1384.4337
Anampses_chrysocephalus_F_1.png,1659.3354
Plectorhinchus_gaterinus_J_2.png,1621.0247
Paraplotosus_muelleri_A_1.png,1297.0857
Caranx_ignobilis_A_2_Langlois22.png,1309.4585
Eucinostomus_melanopterus_A_2.png,1189.3452
Pomacentrus_littoralis_A_2.png,1439.3596
Emmelichthyops_atlanticus_A_1.png,1298.3058
Holacanthus_ciliaris_J_1_Langlois22.png,2002.5452
Scarus_ferrugineus_M_1_Langlois22.png,1531.4723
Scorpaenopsis_venosa_A_1.png,1446.426
Chlorurus_perspicillatus_F_1.png,1387.8535
Ptereleotris_helenae_A_1.png,1391.5659
Scorpaenodes_littoralis_A_1.png,1420.4927
Anampses_chrysocephalus_M_1.png,1503.4238
Chloroscombrus_chrysurus_J_1.png,1286.1191
Gerres_subfasciatus_A_2_Langlois22.png,1123.6084
Rhinesomus_triqueter_J_1.png,1708.9475
Plectorhinchus_gaterinus_A_3.png,1413.2705
Canthigaster_compressa_A_3.png,1497.8966
Lutjanus_colorado_A_2.png,1228.615
Anampses_chrysocephalus_J_1.png,1525.9707
Amphiprion_perideraion_A_1_Langlois22.png,1575.5435
Chaetodon_melapterus_A_1.png,1606.48
Parascorpaena_aurita_A_1.png,1516.7981
Paracheilinus_filamentosus_M_1.png,1662.4946
Tylosurus_crocodilus_crocodilus_A_4.png,1277.2874
Siganus_canaliculatus_A_1.png,1255.2849
Chromileptes_altivelis_A_2.png,1609.2356
Plectorhinchus_schotaf_A_3.png,1209.6821
Scarus_dubius_M_1.png,1543.1484
Sargocentron_suborbitalis_A_1.png,1321.1804
Halichoeres_cyanocephalus_A_2.png,1443.2872
Stegastes_lividus_A_1.png,1354.2256
Diplectrum_bivittatum_A_2.png,1202.2988
Chromileptes_altivelis_A_1.png,1809.0762
Myripristis_botche_A_3.png,1405.5361
Oxycheilinus_nigromarginatus_A_1.png,1399.993
Bodianus_pulchellus_J_1.png,1459.5377
Apogon_pacificus_A_1_Langlois22.png,1425.4614
Strongylura_incisa_A_1.png,1379.48
Centropyge_loricula_A_1.png,1657.2885
Pomacentrus_limosus_A_2.png,1359.1494
Chrysiptera_hemicyanea_A_1_Langlois22.png,1735.5745
Trachinotus_falcatus_A_2.png,1314.332
Diplodus_annularis_A_1_Langlois22.png,1354.1329
Goniistius_plessisi_A_1.png,1414.2617
Chirodactylus_spectabilis_A_1.png,1512.1534
Sphoeroides_testudineus_A_1.png,1448.6732
Scomberomorus_commerson_A_1_Langlois22.png,1161.2207
Scarus_dubius_F_1.png,1253.9047
Muraena_argus_A_2_Langlois22.png,1201.9933
Bodianus_pulchellus_A_1.png,1473.2991
Lutjanus_colorado_A_1.png,1322.4807
Anampses_chrysocephalus_M_2.png,1393.6472
Coris_aygula_fem_186_Langlois22.png,1474.6619
Alepes_vari_A_1.png,1313.6777
Gymnocranius_superciliosus_A_2.png,1378.9414
Halichoeres_cyanocephalus_A_1.png,1437.763
Genicanthus_melanospilos_M_1.png,1614.4077
Emmelichthyops_atlanticus_J_1.png,1250.5491
Lethrinus_semicinctus_A_1.png,1292.6335
Morwong_fuscus_A_1.png,1328.6545
Pomacentrus_limosus_A_1.png,1560.2065
Aracana_aurita_M_2_Langlois22.png,1990.7896
Xyrichtys_martinicensis_A_1.png,1410.2725
Pseudanthias_engelhardi_F_1.png,1385.0588
Scolopsis_frenatus_A_1.png,1342.8204
Calamus_penna_A_4.png,1302.5676
Colurodontis_paxmani_A_1.png,1550.31
Cryptotomus_roseus_A_3.png,1326.5732
Archosargus_probatocephalus_A_1.png,1549.4795
Plectorhinchus_schotaf_A_1.png,1162.8877
Diplectrum_bivittatum_A_1.png,1334.4556
Pomacanthus_semicirculatus_J_1_Langlois22.png,1908.785
Pomacentrus_limosus_A_3.png,1371.2701
Sebastapistes_coniorta_A_1.png,1407.7595
Scolopsis_frenatus_A_2.png,1424.0387
Coris_bulbifrons_J_1_Langlois22.png,1529.955
Herklotsichthys_castelnaui_A_1.png,1182.5533
Amphiprion_bicinctus_J_1_Langlois22.png,1694.895
Acanthopagrus_bifasciatus_A_1.png,1614.2302
Sarda_australis_A_1_Langlois22.png,1215.6658
Archosargus_probatocephalus_A_2.png,1436.5388
Epinephelus_multinotatus_A_1_Langlois22.png,1346.7979
Plectorhinchus_schotaf_A_4.png,1185.5762
Aeoliscus_strigatus_A_1.png,1311.5479
Calamus_penna_A_3.png,1258.304
