"","country","site_code","latitude","longitude"
"455","Australia","WA63",-26.09207,113.23634
"456","Australia","WA61",-26.12424,113.23715
"457","Australia","WA59",-26.16084,113.21732
"459","Australia","CI1",-10.42962,105.66814
"460","Australia","CI2",-10.42658,105.67081
"461","Australia","CI3",-10.42813,105.66575
"462","Australia","CI4",-10.42116,105.67196
"463","Australia","CI5",-10.4197,105.67226
"464","Australia","CI6",-10.46143,105.58156
"465","Australia","CI7",-10.45623,105.63594
"466","Australia","CI8",-10.46854,105.5578
"467","Australia","CI9",-10.46368,105.70836
"468","Australia","CI10",-10.42366,105.66985
"469","Australia","CI11",-10.42898,105.66985
"470","Australia","CI12",-10.46304,105.7077
"473","Australia","NT9",-12.4134,130.8127
"475","Australia","NT14",-12.3146,130.8705
"476","Australia","NT12",-12.4073,130.7922
"480","Australia","NT8",-12.4158000946045,130.81315612793
"481","Australia","NT3",-12.4854,130.7969
"483","Australia","NT2",-12.5629,130.8614
"484","Australia","NT4",-12.485520362854,130.785247802734
"485","Australia","CI13",-10.4607,105.6282
"487","Australia","CI14",-10.42918,105.6689
"488","Australia","NT13",-12.40605,130.81166
"494","Australia","NT5",-12.4766,130.787
"498","Australia","NT11",-12.3448,130.8538
"500","Egypt","RED1",23.41758,35.98514
"501","Egypt","RED2",23.33986,35.85479
"502","Egypt","RED3",23.42728,35.87658
"503","Egypt","RED4",23.42852,35.90383
"504","Egypt","RED5",23.4303,35.86446
"505","Egypt","RED6",23.41057,35.93071
"506","Egypt","RED7",23.63558,35.82552
"507","Egypt","RED8",24.15678,35.71164
"508","Egypt","RED10",24.25309,35.5399
"509","Egypt","RED11",24.67004,35.13316
"510","Egypt","RED9",24.21989,35.61184
"511","Egypt","RED12",24.78735,35.18158
"512","Egypt","RED13",25.0712,34.93801
"513","Spain","CAN1",28.16443,-16.42887
"514","Spain","CAN2",27.8003,-17.88635
"515","Spain","CAN3",27.79932,-17.88882
"516","Spain","CAN4",27.64554,-17.99875
"517","Spain","CAN5",27.63995,-17.99556
"518","Spain","CAN6",27.64651,-18
"519","Spain","CAN7",28.42213,-16.55349
"520","Spain","CAN8",28.42147,-16.55299
"521","Spain","CAN9",28.41944,-16.53035
"522","Spain","CAN10",28.40099,-16.32476
"538","Colombia","ETP160",4.00466,-81.60433
"540","Colombia","ETP191",4.00653,-81.60354
"543","Colombia","ETP192",4.00831,-81.60603
"544","Colombia","ETP194",4.00787,-81.60659
"548","Colombia","ETP179",4.00162,-81.61133
"552","Colombia","ETP180",3.99977,-81.61436
"555","Colombia","ETP161",4.00368,-81.61065
"559","Colombia","ETP193",4.00855,-81.60538
"562","Indonesia","BALI1",-8.277,115.5945
"563","Indonesia","ACEH1",5.88147,95.25631
"564","Indonesia","ACEH2",5.88102,95.26021
"565","Indonesia","ACEH3",5.89492,95.25287
"566","Indonesia","ACEH4",5.88529,95.25431
"567","Indonesia","ACEH5",5.63217,95.13788
"568","Indonesia","ACEH6",5.66782,95.12632
"569","Indonesia","ACEH10",5.87792,95.35384
"570","Indonesia","ACEH7",5.89528,95.25436
"571","Indonesia","ACEH8",5.89083,95.25436
"572","Indonesia","ACEH9",5.82587,95.37793
"573","Indonesia","ACEH11",5.86718,95.2696
"574","Indonesia","ACEH12",5.89787,95.25255
"575","Indonesia","ACEH13",5.6639,95.09202
"576","Indonesia","ACEH14",5.64638,95.16272
"577","Indonesia","ACEH15",5.84835,95.28406
"578","Indonesia","ACEH16",5.88585,95.25413
"579","Indonesia","ACEH17",5.87248,95.26192
"580","Indonesia","ACEH18",5.77726,95.33671
"581","Indonesia","ACEH19",5.80058,95.34664
"582","Indonesia","ACEH20",5.88679,95.25651
"583","Indonesia","ACEH21",5.88277,95.24911
"584","Indonesia","ACEH22",5.88289,95.25118
"585","Indonesia","ACEH23",5.85724,95.36138
"586","Indonesia","ACEH24",5.89158,95.34356
"587","Indonesia","ACEH25",5.87715,95.31384
"588","Indonesia","ACEH26",5.86461,95.26884
"589","Indonesia","ACEH27",5.8543,95.27358
"590","Indonesia","ACEH28",5.87207,95.26658
"591","Indonesia","ACEH29",5.60681,95.19375
"592","Indonesia","ACEH30",5.6291,95.13154
"593","Indonesia","FLORES1",-8.486,122.342
"594","Indonesia","FLORES2",-8.45386,122.32913
"595","Indonesia","FLORES3",-8.43986,122.32842
"596","Indonesia","FLORES4",-8.43966,122.32843
"597","Indonesia","FLORES5",-8.48432,122.46081
"598","Indonesia","FLORES6",-8.435,122.499
"599","Indonesia","FLORES7",-8.48255,122.48146
"600","Indonesia","BALI3",-8.27899,115.59646
"601","Indonesia","BALI2",-8.27729,115.59446
"602","Indonesia","BALI4",-8.27781,115.59459
"627","Costa Rica","ETP115",10.51775,-85.79197
"628","Costa Rica","ETP116",10.60737,-85.70247
"629","Costa Rica","ETP118",5.55412,-87.05408
"630","Costa Rica","ETP15",5.56187,-87.04693
"631","Costa Rica","ETP18",5.54592,-87.02909
"632","Costa Rica","ETP119",5.56095,-87.04852
"633","Costa Rica","ETP120",5.53483,-87.0875
"634","Costa Rica","ETP121",5.534,-87.08667
"635","Costa Rica","ETP122",5.55228,-87.05088
"636","Costa Rica","ETP117",5.55022,-87.0331
"637","Panama","ETP4",8.67092,-79.06583
"638","Costa Rica","ETP51",8.71623,-83.86901
"639","Costa Rica","ETP14",5.5509,-87.03493
"641","Costa Rica","ETP16",5.56213,-87.04663
"642","Costa Rica","ETP17",5.55411,-87.05408
"644","Costa Rica","ETP19",5.52842,-87.02996
"645","Costa Rica","ETP21",5.54822,-87.0817
"646","Costa Rica","ETP22",5.54335,-87.07175
"647","Costa Rica","ETP23",5.54994,-87.0604
"648","Costa Rica","ETP24",5.54595,-87.06231
"649","Costa Rica","ETP25",5.50856,-87.10121
"650","Costa Rica","ETP26",5.49312,-87.08898
"651","Costa Rica","ETP20",5.53536,-87.08679
"652","Costa Rica","ETP27",5.5193,-87.09582
"653","Costa Rica","ETP28",5.50579,-87.06775
"654","Costa Rica","ETP30",9.86011,-85.48717
"655","Costa Rica","ETP31",9.86374,-85.51617
"656","Costa Rica","ETP32",9.8652,-85.49651
"657","Costa Rica","ETP33",9.86241,-85.48544
"658","Costa Rica","ETP34",9.86422,-85.4967
"659","Costa Rica","ETP35",9.85037,-85.46999
"660","Costa Rica","ETP36",9.85023,-85.41877
"661","Costa Rica","ETP37",9.8485,-85.40214
"662","Costa Rica","ETP38",9.8424,-85.40054
"663","Costa Rica","ETP39",9.85339,-85.46064
"664","Costa Rica","ETP40",9.84155,-85.37397
"665","Costa Rica","ETP42",9.81501,-85.3322
"666","Costa Rica","ETP44",9.75662,-85.2714
"667","Costa Rica","ETP45",8.67714,-83.71687
"668","Costa Rica","ETP46",8.70656,-83.86634
"669","Costa Rica","ETP47",8.70352,-83.89795
"670","Costa Rica","ETP48",8.71446,-83.882
"671","Costa Rica","ETP49",8.71151,-83.89129
"672","Costa Rica","ETP50",8.71817,-83.87642
"673","Costa Rica","ETP52",8.6983,-83.8891
"674","Costa Rica","ETP53",8.70105,-83.9147
"675","Costa Rica","ETP54",8.73154,-83.82632
"676","Costa Rica","ETP55",8.63799,-83.73633
"677","Costa Rica","ETP56",8.36985,-83.28786
"684","Costa Rica","ETP240",5.554,-87.03108
"697","Costa Rica","ETP234",5.50014,-87.08012
"747","Costa Rica","ETP41",9.76736,-85.27205
"749","Costa Rica","ETP43",9.7588,-85.27452
"761","Panama","ETP123",7.96247,-82.05782
"762","Panama","ETP124",7.953,-82.05687
"763","Panama","ETP125",7.8733,-81.79395
"764","Panama","ETP1",8.77213,-79.53417
"765","Panama","ETP2",8.77569,-79.54421
"766","Panama","ETP3",8.76728,-79.539
"767","Panama","ETP5",8.67322,-79.06106
"768","Panama","ETP6",8.58036,-79.01867
"769","Panama","ETP7",8.51917,-79.01083
"770","Panama","ETP8",8.5307,-79.00595
"771","Panama","ETP9",8.40062,-79.07819
"772","Panama","ETP10",8.22567,-79.10636
"773","Panama","ETP11",7.7064,-81.63515
"774","Panama","ETP12",7.69188,-81.61163
"775","Panama","ETP13",7.82668,-81.75825
"776","Panama","ETP57",7.87083,-82.44462
"777","Panama","ETP58",7.86957,-82.43576
"778","Panama","ETP59",8.12392,-82.30329
"779","Panama","ETP60",8.11851,-82.3236
"780","Panama","ETP61",8.08927,-82.25797
"781","Panama","ETP62",8.09443,-82.26188
"782","Panama","ETP63",7.96417,-82.05775
"783","Panama","ETP65",8.00028,-82.0261
"784","Panama","ETP66",7.97507,-82.0184
"785","Panama","ETP67",7.94755,-82.02232
"786","Panama","ETP68",7.99112,-81.9825
"787","Panama","ETP69",7.8391,-81.79657
"788","Panama","ETP70",7.84978,-81.78748
"789","Panama","ETP71",7.8704,-81.77695
"790","Panama","ETP72",7.8745,-81.79472
"791","Panama","ETP73",7.88547,-81.8143
"792","Panama","ETP74",7.84293,-81.7539
"793","Panama","ETP75",7.81928,-81.73878
"794","Panama","ETP76",7.81937,-81.77153
"795","Panama","ETP77",7.80103,-81.76105
"796","Panama","ETP78",7.7762,-81.76002
"797","Panama","ETP79",7.6562,-81.73015
"798","Panama","ETP80",7.65017,-81.71845
"799","Panama","ETP81",7.62511,-81.71169
"800","Panama","ETP82",7.63295,-81.69427
"801","Panama","ETP83",7.59307,-81.71005
"802","Panama","ETP84",7.64627,-81.76115
"803","Panama","ETP85",7.63272,-81.7344
"804","Panama","ETP86",7.63113,-81.7822
"805","Panama","ETP87",7.58555,-81.84167
"806","Panama","ETP88",7.43252,-81.8579
"807","Panama","ETP89",7.29649,-81.82322
"808","Panama","ETP90",7.26612,-81.78305
"809","Panama","ETP91",7.21305,-81.79862
"810","Panama","ETP92",7.22668,-81.82928
"811","Panama","ETP93",7.20322,-81.79869
"812","Panama","ETP94",7.33073,-81.72418
"813","Panama","ETP95",7.34713,-81.59093
"814","Panama","ETP96",7.33722,-80.13867
"815","Panama","ETP97",8.4174,-79.12924
"816","Panama","ETP98",8.39918,-79.07865
"817","Panama","ETP99",8.31736,-79.10357
"818","Panama","ETP100",8.3095,-79.09903
"819","Panama","ETP101",8.26347,-79.069
"820","Panama","ETP102",8.26432,-79.06902
"821","Panama","ETP103",8.31623,-79.10264
"822","Panama","ETP104",8.31477,-79.12072
"823","Panama","ETP105",8.44639,-79.10956
"824","Panama","ETP106",8.22991,-78.90163
"825","Panama","ETP107",8.33071,-78.80663
"826","Panama","ETP108",8.39036,-78.81526
"827","Panama","ETP109",8.39248,-78.81754
"828","Panama","ETP110",8.4077,-78.80353
"829","Panama","ETP111",8.42954,-78.84869
"830","Panama","ETP112",8.45339,-78.84975
"831","Panama","ETP113",8.48361,-78.91944
"832","Panama","ETP114",8.63514,-79.03461
"833","Panama","ETP152",7.69188,-81.63953
"841","Panama","ETP151",7.68713,-81.61163
"845","Panama","ETP144",7.85345,-81.8025
"856","Panama","ETP238",7.94755,-82.02232
"863","Panama","ETP239",7.9521,-82.03662
"880","Panama","ETP169",7.2852,-81.67302
"881","Panama","ETP242",7.80242,-81.74603
"892","Panama","ETP142",7.31805,-81.67278
"894","Panama","ETP195",7.31638,-81.71112
"901","Panama","ETP187",7.47783,-82.2433
"902","Panama","ETP223",7.4054,-81.81823
"903","Panama","ETP141",7.51805,-81.89558
"904","Panama","ETP177",7.25765,-81.82392
"906","Panama","ETP188",7.46242,-82.23207
"914","Panama","ETP212",7.54435,-81.85898
"916","Panama","ETP140",7.47135,-82.2659
"917","Panama","ETP200",7.48757,-81.88863
"922","Panama","ETP206",7.51672,-81.67083
"923","Panama","ETP211",7.42182,-81.69548
"926","Panama","ETP173",7.62362,-81.71167
"1004","Ecuador","ETP184",-0.32864,-91.33796
"1005","Ecuador","ETP185",-0.33099,-91.3378
"1006","Ecuador","ETP224",-0.3713,-91.3813
"1007","Ecuador","ETP225",-0.36996,-91.3799
"1012","Ecuador","ETP149",-0.26461,-91.37553
"1013","Ecuador","ETP150",-0.26766,-91.37229
"1014","Ecuador","ETP153",-0.30223,-91.35976
"1015","Ecuador","ETP154",-0.31059,-91.3543
"1016","Ecuador","ETP197",-0.25808,-91.38719
"1017","Ecuador","ETP198",-0.26084,-91.38768
"1024","Ecuador","ETP207",-0.27079,-91.437
"1025","Ecuador","ETP208",-0.26194,-91.44458
"1026","Ecuador","ETP209",-0.27205,-91.435
"1027","Ecuador","ETP210",-0.2739,-91.4311
"1032","Ecuador","ETP145",-0.30119,-91.65047
"1033","Ecuador","ETP146",-0.3018,-91.6524
"1034","Ecuador","ETP148",-0.3092,-91.6647
"1036","Ecuador","ETP147",-0.3188,-91.6676
"1038","Ecuador","ETP190",-0.33477,-91.6579
"1039","Ecuador","ETP226",-0.04116,-91.52752
"1040","Ecuador","ETP227",-0.04037,-91.52193
"1041","Ecuador","ETP228",-0.04991,-91.54678
"1042","Ecuador","ETP229",-0.04701,-91.54444
"1043","Ecuador","ETP230",-0.0536,-91.55924
"1044","Ecuador","ETP231",-0.05167,-91.5588
"1050","Ecuador","ETP138",-0.28115,-90.56861
"1051","Ecuador","ETP143",-0.27971,-90.54489
"1052","Ecuador","ETP162",-0.29786,-90.55091
"1053","Ecuador","ETP232",-0.23645,-90.57447
"1054","Ecuador","ETP236",-0.23095,-90.58803
"1055","Ecuador","ETP237",-0.23551,-90.58061
"1062","Ecuador","ETP139",-1.34813,-89.6366
"1063","Ecuador","ETP155",-1.37844,-89.6236
"1064","Ecuador","ETP171",-1.33901,-89.64402
"1068","Ecuador","ETP176",-1.3579,-89.64422
"1069","Ecuador","ETP247",1.37867,-91.8194
"1070","Ecuador","ETP248",1.37978,-91.8183
"1073","Ecuador","ETP243",1.38374,-91.8117
"1074","Ecuador","ETP244",1.38318,-91.8111
"1075","Ecuador","ETP245",1.38696,-91.8164
"1076","Ecuador","ETP246",1.387,-91.8166
"1081","Ecuador","ETP128",1.67363,-91.98928
"1082","Ecuador","ETP158",1.68095,-92.001
"1083","Ecuador","ETP159",1.68074,-91.9995
"1086","Ecuador","ETP174",0.30936,-90.40312
"1087","Ecuador","ETP203",0.2821,-90.49147
"1088","Ecuador","ETP204",0.28602,-90.50151
"1092","Ecuador","ETP233",0.31283,-90.40129
"1093","Ecuador","ETP164",0.34017,-89.96983
"1094","Ecuador","ETP165",0.33531,-89.97502
"1095","Ecuador","ETP166",0.30032,-89.94461
"1096","Ecuador","ETP167",0.30678,-89.9681
"1101","Ecuador","ETP186",-1.60077,-80.85869
"1102","Ecuador","ETP235",-1.59102,-80.87155
"1104","Ecuador","ETP163",-1.25875,-81.05992
