"id","site_code","latitude","longitude","country","ecoregion","realm","year","depth","median_5year_analysed_sst","median_5year_chl","median_5year_degree_heating_week","median_5year_ph","median_5year_so_glor","median_1year_degree_heating_week","median_7days_degree_heating_week","q95_5year_degree_heating_week","median_7days_chl","Back_Reef_Slope_500m","coral_algae_500m","Deep_Lagoon_500m","Inner_Reef_Flat_500m","Microalgal_Mats_500m","Patch_Reefs_500m","Plateau_500m","Reef_Crest_500m","Reef_Slope_500m","Rock_500m","Rubble_500m","Sand_500m","Seagrass_500m","Sheltered_Reef_Slope_500m","Terrestrial_Reef_Flat_500m","coral","Sand","other_sessile_invert","Rock","coralline_algae","coral_rubble","gdp","gravity","hdi","marine_ecosystem_dependency","natural_ressource_rent","neartt"
"TONGA20_2024-06-12","TONGA20",-20.07,-174.77,"Tonga","Tonga Islands","Central Indo-Pacific",2024,7,26.42255,0.034183331289725,0,8.06013107299805,35.1034994125366,0,0,6.29332499999999,0.0366348703313309,0.0266656236818405,30.4706842577331,0.75720680583683,1.16576871348946,0.0122940665661164,0,0.164664248166184,0.893847714702329,1.17739035551519,1.11171978367749,1.01698377647318,0.641808466416828,0.179437998791341,0.828120768735383,0,0.606177968302795,0.182701997507365,0.0976718064473541,0.195468677921486,0.381739009993827,0.137994689338205,6.09402338307573,0.693625766808721,0.7025,0.107454530714636,0.0302652442743598,1.1110552508001
"TONGA21_2024-06-15","TONGA21",-19.69,-175.02,"Tonga","Tonga Islands","Central Indo-Pacific",2024,6,26.87595,0.0316217176074441,0,8.05718839168549,35.0938062667847,0,0,6.72979,0.0250053982858297,0,0.865658674449822,0,0,0,0,0,0,0.283811885687222,0,0,0,0,0,0,0.584832367726367,0.165359218424519,0.116675416768323,0.196759819221716,0.415814044935432,0.108537420084806,6.94519527273914,1.9043880591776,0.7025,0.107454530714636,0.0302652442743598,0.301029995663981
"TONGA23_2024-06-15","TONGA23",-19.69,-175.02,"Tonga","Tonga Islands","Central Indo-Pacific",2024,11,26.87595,0.0316217176074441,0,8.05718839168549,35.0938062667847,0,0,6.72979,0.0250053982858297,0,0.865658674449822,0,0,0,0,0,0,0.283811885687222,0,0,0,0,0,0,0.588220617353452,0.17359267242114,0.118603193678892,0.196547583056265,0.413632709527966,0.113024800868658,6.94519527273914,1.9043880591776,0.7025,0.107454530714636,0.0302652442743598,0.301029995663981
"TONGA24_2024-06-18","TONGA24",-19.87,-174.43,"Tonga","Tonga Islands","Central Indo-Pacific",2024,5.5,26.77495,0.0322255818822381,0,8.05872881412506,35.0937657356262,0,0,3.7908,0.0250598495400518,1.21923076855407,18.5380597057936,1.07483384307358,1.14371497234354,1.16769215213606,0,0.798394855670476,0,0.655586411103807,0.93166487201318,1.06827374579858,0.908375028192229,0.479035030811494,0.443474786767299,0,0.582422527087828,0.223906616780287,0.106077489806106,0.235921116504714,0.37606341804573,0.150230232011623,7.15209414840864,1.43902489003983,0.7025,0.107454530714636,0.0302652442743598,0.582626518082363
"TONGA25_2024-06-18","TONGA25",-19.88,-174.42,"Tonga","Tonga Islands","Central Indo-Pacific",2024,3.25,26.77495,0.0333946062342985,0,8.05992746353149,35.0939040184021,0,0,3.7908,0.0264820085934505,1.32974936241956,31.1627394192783,1.11450529195318,1.01320504122553,0.856321996985096,0,0,0,0,0.729060774911174,1.10165256072334,0.843605919029977,0.102104812770608,0,0,0.574177932780139,0.232181135750355,0.110965085342877,0.256878874079858,0.362543760778146,0.159538592421336,7.15209414840864,1.83115708613272,0.7025,0.107454530714636,0.0302652442743598,0.39004543055925
"TONGA26_2024-06-19","TONGA26",-19.85,-174.43,"Tonga","Tonga Islands","Central Indo-Pacific",2024,4.5,26.77495,0.0322255818822381,0,8.05872881412506,35.093789100647,0,0,3.7908,0.0251712608618208,0.00257934272319784,9.91622559397604,0.538764509737159,0.958578935981568,0.0936181721795052,0,0.198881128632003,0.551998483022418,0.868611980429415,0.662080004348663,0.898624152878089,0.215775533495298,0.113223636691178,0.611813785356418,0,0.586823518659208,0.191167292981657,0.104398740426321,0.247323382519717,0.36916358773786,0.138660094511356,7.15209414840864,1.32516013808371,0.7025,0.107454530714636,0.0302652442743598,0.638465276959748
"TONGA27_2024-06-19","TONGA27",-19.84,-174.41,"Tonga","Tonga Islands","Central Indo-Pacific",2024,3.75,26.77495,0.0322255818822381,0,8.05872881412506,35.093789100647,0,0,3.7908,0.0251712608618208,0.895019416017473,7.81781108893386,1.43958638812637,1.19612537907096,1.56297346731743,0,0,0.490415829470188,0.250575040432437,0.462861195555064,1.07656926457038,1.1239901084079,0,0.2529089383761,0,0.585826620116067,0.214853593689154,0.129346717009723,0.216818190316933,0.3601872782115,0.158724877975389,7.15209414840864,1.31772822534773,0.7025,0.107454530714636,0.0302652442743598,0.595970116329179
"TONGA28_2024-06-20","TONGA28",-19.88,-174.47,"Tonga","Tonga Islands","Central Indo-Pacific",2024,5.25,26.77495,0.0333946062342985,0,8.05992746353149,35.0940160751343,0,0,3.7908,0.0277562106369676,0.920007915522331,7.31181084453818,0.557057177337002,0,0.00641902583400702,0,1.01513742626968,0,0,0,0,0.00454236731589661,0,0,0,0.575190744439047,0.213185410350958,0.111902410756294,0.255255130185652,0.382021425908905,0.154586398866568,7.15209414840864,1.15625705535923,0.7025,0.107454530714636,0.0302652442743598,0.680877533957143
"TONGA29_2024-06-20","TONGA29",-19.87,-174.48,"Tonga","Tonga Islands","Central Indo-Pacific",2024,4,26.77495,0.0322255818822381,0,8.05872881412506,35.0942707061768,0,0,3.7908,0.0252425879155559,1.06762328712634,32.3481610591875,0.780324957999934,1.16418294028845,0.791339353260467,0,0.956712567187999,0.154084065000104,0.992714816436861,0.902358386688001,1.12077296006362,1.09298694367067,0,0,0,0.581860563905185,0.210219455613222,0.0944276393774101,0.226011004951706,0.392728770766051,0.14736680793217,7.15209414840864,1.27824770713498,0.7025,0.107454530714636,0.0302652442743598,0.596515018210657
"TONGA30_2024-06-20","TONGA30",-19.87,-174.47,"Tonga","Tonga Islands","Central Indo-Pacific",2024,4,26.77495,0.0322255818822381,0,8.05872881412506,35.0942707061768,0,0,3.7908,0.0252425879155559,0.840448281928804,15.8229818986053,1.30124768655507,0.855242197233884,1.63291430112693,0,0,0.295975000473309,0.841547747396012,0.568137785494542,0.95285481134676,1.34791045343724,0,0,0,0.581462848858774,0.223456842981679,0.1322816834766,0.215160455093534,0.377960375792915,0.164197683995612,7.15209414840864,1.54053549672497,0.7025,0.107454530714636,0.0302652442743598,0.494106620023336
